"id","image_id","response","create_dt","session_id"
1,11,-1,"2021-04-21 19:45:05","9ae1dc88-c633-4ed7-9a3e-9e55ac11d554"
2,8,1,"2021-04-22 08:06:01","66924c76-e246-4fd4-9342-e5ab2b83df6e"
3,9,1,"2021-04-22 10:04:21","9ae1dc88-c633-4ed7-9a3e-9e55ac11d554"
4,11,0,"2021-04-22 10:06:49","9ae1dc88-c633-4ed7-9a3e-9e55ac11d554"
19,10,1,"2021-04-23 12:32:05","54db6e88-9735-43c3-9575-25146e96ce31"
20,9,1,"2021-04-23 12:32:13","54db6e88-9735-43c3-9575-25146e96ce31"
21,3,1,"2021-04-23 13:57:43","2a9520bc-21d4-422a-86b2-d470d9f81ba9"
22,5,1,"2021-04-23 18:47:14",afe979be-efbe-40e1-a836-50971e88db10
23,5,1,"2021-04-24 17:54:20",e59ad017-3873-4ad7-95d1-c2b243ae9570
24,6,1,"2021-04-24 17:54:30",e59ad017-3873-4ad7-95d1-c2b243ae9570
25,2,-1,"2021-04-24 17:54:35",e59ad017-3873-4ad7-95d1-c2b243ae9570
26,3,-1,"2021-04-24 17:54:39",e59ad017-3873-4ad7-95d1-c2b243ae9570
27,10,-1,"2021-04-24 17:54:41",e59ad017-3873-4ad7-95d1-c2b243ae9570
28,11,-1,"2021-04-24 17:54:42",e59ad017-3873-4ad7-95d1-c2b243ae9570
29,16,1,"2021-04-26 07:54:30",b703f799-308a-4679-8ad5-f93cfa0c3011
30,11,-1,"2021-04-26 08:45:45",b703f799-308a-4679-8ad5-f93cfa0c3011
31,11,1,"2021-04-26 08:45:54",b703f799-308a-4679-8ad5-f93cfa0c3011
32,8,-1,"2021-04-26 09:21:07",b703f799-308a-4679-8ad5-f93cfa0c3011
33,8,1,"2021-04-26 12:30:22","54db6e88-9735-43c3-9575-25146e96ce31"
34,40,1,"2021-04-26 13:13:39",b115b968-6267-42d1-b0ae-fa146a663da7
35,71,-1,"2021-04-26 14:50:22","54db6e88-9735-43c3-9575-25146e96ce31"
36,56,-1,"2021-04-26 14:50:24","54db6e88-9735-43c3-9575-25146e96ce31"
37,48,-1,"2021-04-26 14:50:25","54db6e88-9735-43c3-9575-25146e96ce31"
38,95,-1,"2021-04-26 15:03:43","2a9520bc-21d4-422a-86b2-d470d9f81ba9"
39,40,-1,"2021-04-26 15:33:08","2a9520bc-21d4-422a-86b2-d470d9f81ba9"
40,34,-1,"2021-04-27 12:21:41","642cb12c-490f-408c-b2fc-9c3091891671"
41,63,-1,"2021-04-27 12:21:52","642cb12c-490f-408c-b2fc-9c3091891671"
42,49,-1,"2021-04-27 12:28:15","642cb12c-490f-408c-b2fc-9c3091891671"
43,83,-1,"2021-04-27 12:52:15","54db6e88-9735-43c3-9575-25146e96ce31"
44,55,1,"2021-04-27 12:52:54","54db6e88-9735-43c3-9575-25146e96ce31"
45,32,1,"2021-04-27 14:41:23",b703f799-308a-4679-8ad5-f93cfa0c3011
46,19,-1,"2021-04-28 07:33:52","2a9520bc-21d4-422a-86b2-d470d9f81ba9"
47,37,-1,"2021-04-28 12:35:49",e2988c68-1b73-4bf4-a05a-619bc364daef
48,69,-1,"2021-04-28 13:47:59","54db6e88-9735-43c3-9575-25146e96ce31"
49,32,-1,"2021-04-28 13:48:03","54db6e88-9735-43c3-9575-25146e96ce31"
50,44,-1,"2021-04-28 13:48:13","54db6e88-9735-43c3-9575-25146e96ce31"
51,39,-1,"2021-04-28 13:48:23","54db6e88-9735-43c3-9575-25146e96ce31"
52,73,-1,"2021-04-28 13:48:30","54db6e88-9735-43c3-9575-25146e96ce31"
53,34,-1,"2021-04-28 13:48:43","54db6e88-9735-43c3-9575-25146e96ce31"
54,47,-1,"2021-04-28 13:55:17","385a7658-5cbb-4b13-a706-937c572410d8"
55,44,-1,"2021-04-28 13:55:21","385a7658-5cbb-4b13-a706-937c572410d8"
56,72,-1,"2021-04-28 13:55:37","385a7658-5cbb-4b13-a706-937c572410d8"
57,92,-1,"2021-04-28 13:55:44","385a7658-5cbb-4b13-a706-937c572410d8"
58,20,-1,"2021-04-28 13:55:48","385a7658-5cbb-4b13-a706-937c572410d8"
59,23,-1,"2021-04-28 13:56:08","385a7658-5cbb-4b13-a706-937c572410d8"
60,55,-1,"2021-04-28 14:02:15","642cb12c-490f-408c-b2fc-9c3091891671"
61,60,-1,"2021-04-28 14:02:23","642cb12c-490f-408c-b2fc-9c3091891671"
62,45,-1,"2021-04-28 14:02:37","642cb12c-490f-408c-b2fc-9c3091891671"
63,90,-1,"2021-04-28 14:03:13",de406cba-fb0e-4f35-998c-9ca86ef1b729
64,25,-1,"2021-04-28 14:03:49",de406cba-fb0e-4f35-998c-9ca86ef1b729
65,35,-1,"2021-04-28 14:04:22",de406cba-fb0e-4f35-998c-9ca86ef1b729
66,35,-1,"2021-04-28 14:04:27",de406cba-fb0e-4f35-998c-9ca86ef1b729
67,71,-1,"2021-04-28 14:07:25",bdb1ad3f-057d-4837-bc39-d588d756341c
68,69,-1,"2021-04-28 14:08:13",bdb1ad3f-057d-4837-bc39-d588d756341c
69,52,-1,"2021-04-28 14:12:29",bdb1ad3f-057d-4837-bc39-d588d756341c
